City,Covid Cases
Tuensang,2414.3762
Lakshmeshwar,2390.1125
Zira,2264.9094
Yawal,2405.205
Thana Bhawan,2513.3955
Ramdurg,2841.5403
Pulgaon,2501.7954
Sadasivpet,2902.4866
Nargund,2298.7302
Neem-Ka-Thana,1787.595
Memari,2777.7522
Nilanga,2567.8435
Naharlagun,2496.5972
Pakaur,2560.9844
Wai,2392.7783
Tarikere,3052.0654
Malavalli,2489.8464
Raisen,2056.635
Lahar,1887.6698
Uravakonda,2552.0745
Savanur,2636.056
Sirohi,2590.021
Udhampur,2341.6948
Umarga,2748.4214
Pratapgarh,2021.2242
Lingsugur,2827.757
Usilampatti,2857.912
Palia Kalan,2042.0143
Wokha,2093.363
Rajpipla,2347.3213
Vijayapura,2710.8345
Rawatbhata,2114.2805
Sangaria,1890.9597
Paithan,2180.9246
Rahuri,2481.05
Patti,2539.939
Zaidpur,2321.1482
Lalsot,2129.2678
Maihar,1837.5636
Degana,1978.1925
Vedaranyam,2782.0657
Nawapur,2353.8574
Solan,2462.5144
Vapi,2207.0005
Almora,2055.5513
Sanawad,1921.064
Warisaliganj,2608.9636
Revelganj,2604.3535
Sabalgarh,1812.1912
Tuljapur,2543.1184
Simdega,2315.8586
Musabani,2556.7705
Kodungallur,2908.4587
Phulabani,2892.737
Umreth,2311.546
Narsipatnam,2173.7212
Nautanwa,2094.495
Rajgir,2534.553
Yellandu,2435.567
Sathyamangalam,2901.1973
Pilibanga,1863.1877
Morshi,2400.4602
Pehowa,1748.9436
Sonepur,2614.3616
Pappinisseri,3174.9038
Zamania,2153.9753
Mihijam,2578.7017
Purna,2361.2788
"Shikarpur, Bulandshahr",2221.2441
Umaria,1682.4441
Porsa,2043.17
Naugawan Sadat,2030.2241
Faizabad,2180.0332
Manuguru,2658.014
Ellenabad,2356.8472
Udaipur,2378.631
Pipar City,2122.7131
Nanjikottai,3770.0083
Taranagar,1974.0209
Yerraguntla,2452.9514
Satana,2502.3276
Sherghati,2783.5374
Sankeshwara,2821.9858
Madikeri,2488.2869
Thuraiyur,3285.9385
Sanand,1858.1777
Rajula,1570.4312
Kyathampalle,2896.5393
"Shahabad, Rampur",2192.5774
Tilda Newra,2507.366
Narsinghgarh,2121.2446
Chittur-Thathamangalam,3106.019
Malaj Khand,1837.5636
Sarangpur,1888.8091
Robertsganj,2155.1797
Sirkali,2772.5928
Radhanpur,2478.2566
Tiruchendur,2883.442
Utraula,2230.621
Patratu,2698.3345
"Vijainagar, Ajmer",2062.4373
Periyasemur,2871.8035
Pathri,2656.6199
Sadabad,2223.3105
Talikota,2664.7378
Sinnar,2212.1782
Mungeli,2050.2837
Sedam,2632.2747
Shikaripur,2751.0303
Sumerpur,2014.4703
Sattur,3819.2341
Sugauli,2756.4329
Lumding,2604.7605
Vandavasi,3189.7783
Titlagarh,2768.0098
Uchgaon,2348.6113
Mokokchung,2555.415
Paschim Punropara,2743.9856
Sagwara,2122.903
Ramganj Mandi,2360.9983
Tarakeswar,2821.5535
Mahalingapura,2768.0693
Dharmanagar,2389.0256
Mahemdabad,2124.4807
Manendragarh,2377.3452
Banaganipalli,2702.17
Uran,2499.8992
Tharamangalam,2741.4243
Tirukkoyilur,3769.3516
Pen,2415.2595
Mussoorie,1776.1094
Makhdumpur,2733.4712
Maner Sharif,2571.385
Oddanchatram,2790.303
Palladam,2282.4397
Mundi,2171.0059
Sitarganj,2077.92
Nabarangapur,2592.769
Mudalagi,2764.1409
Samalkha,2378.5083
Nepanagar,2112.0496
Karjat,2362.4753
Ranavav,2212.1802
Pedana,2332.0635
Lakheri,2027.5657
Pasan,2629.7188
Puttur,2718.3508
Vadakkuvalliyur,2750.542
Tirukalukundram,3343.311
Muvattupuzha,2977.9182
Rasra,1969.764
Udaipurwati,2122.188
Manwath,2977.2444
Adoor,2906.0244
Uthamapalayam,2953.1077
Partur,2361.2788
Nahan,2258.6025
Rajesultanpur,2350.869
Ladwa,2068.846
Kotdwar,1871.5286
Mankachar,2270.8406
Nongstoin,2596.429
Nedumbassery,2817.1458
Losal,2054.5854
Ramngarh,2147.2148
Mavelikkara,3127.9243
Rawatsar,2000.0977
Rajakhera,1879.3134
Lar,2398.7136
Lal Gopalganj Nindaura,2782.9094
Muddebihal,2621.1226
Sirsaganj,2362.9292
Shahpura,1881.5007
Surandai,3165.0774
Sangole,2804.8535
Pavagada,2624.5906
Tharad,1923.4175
Mansa,1875.0928
Umargam,2395.737
Mavoor,3041.2092
Nalbari,2463.1218
Talaja,2159.4722
Malur,2165.597
Mangrulpir,2488.4756
Soro,2955.3025
Shahpura,1929.0371
Vadnagar,2035.8145
Chamba,1904.1045
Raisinghnagar,2081.5667
Sindhagi,2563.876
Sanduru,2555.3618
Sohna,2404.3823
Manavadar,2536.8474
Pihani,2315.9016
Safidon,2652.237
Risod,2476.7932
Rosera,2433.8992
Sankari,2656.2915
Malpura,1995.926
Sonamukhi,2857.7168
Varandarappilly,3107.9963
"Shamsabad, Agra",2168.3462
Nokha,2615.663
Pandua,2871.143
Mainaguri,2959.9072
Afzalpur,2590.2578
Bagepalli,2890.3904
Shirur,2585.4749
Salaya,2541.0308
Shenkottai,3195.8835
Pratapgarh,2848.7856
Nagarkurnool,2554.8
Savner,2346.6528
Sasvad,2148.482
Rudrapur,2148.361
Soron,2492.6167
Sholingur,4069.4165
Pandharkaoda,2589.8162
Perumbavoor,2989.2085
Maddur,2908.3096
Nadbai,1950.1074
Talode,2063.228
Shrigonda,2461.066
Madhugiri,2722.5405
Tekkalakote,2766.3936
Seoni-Malwa,1876.909
Shirdi,2409.939
Suar,2421.796
Terdal,2506.9553
Raver,2476.7932
Tirupathur,3016.9023
Taraori,1816.2625
Mukhed,2313.8833
Manachanallur,3053.2812
Jaynagar Majilpur,2769.1973
Rehli,1942.1294
Sanchore,2316.194
Rajura,2567.8435
Piro,2636.2231
Mudabidri,2789.5518
Vadgaon Kasba,2231.7185
Nagar,1903.5074
Vijapur,2035.8145
Viswanatham,3002.414
Bajpur,1954.5358
Polur,3172.1272
Panagudi,3171.3325
Manawar,1929.8807
Pauri,2176.746
Samdhan,2266.5955
Pardi,1852.7463
Rahatgarh,1824.8688
Panagar,2125.8125
Uthiramerur,3138.2788
Tirora,2409.462
Rangiya,2611.888
Sahjanwa,2572.3457
Wara Seoni,1876.4597
Magadi,2860.4778
Rajgarh (Alwar),2099.873
Rafiganj,2958.5298
Tarana,1927.2863
Rampur Maniharan,2207.22
Sheoganj,1803.7205
Raikot,2280.1877
Sumerpur,2133.5225
Navalgund,2694.91
Shahganj,1918.1595
Marhaura,2878.8896
Tulsipur,2081.2268
Sadri,2468.021
Thiruthuraipoondi,2930.7424
Shiggaon,2493.8892
Pallapatti,3232.5005
Mahendragarh,972.54584
Sausar,1639.367
Ponneri,3872.8477
Mahad,2740.2993
Lohardaga,2686.2666
Aluva,2994.7114
Tirwaganj,2214.781
Margherita,2409.912
Tehri,1964.394
Sundarnagar,2161.517
Rajgarh,2110.7158
Mangaldoi,2179.5276
Renigunta,2199.654
Longowal,2195.6567
Ratia,2188.5356
Lalgudi,3234.435
Shrirangapattana,2594.7278
Niwari,1789.8456
Natham,3347.378
Unnamalaikadai,3506.1724
Purquazi,2284.7695
"Shamsabad, Farrukhabad",1129.8293
Mirganj,2872.9944
Todaraisingh,1876.5787
Chengannur,2975.5386
Warhapur,2445.4915
Rajam,2543.4834
Urmar Tanda,2325.9106
Lonar,2424.753
Powayan,2082.9658
vasudevanallur,3212.452
Palampur,2173.7559
P.N.Patti,2732.2983
Srisailam (RFC) Township,2659.7634
Sindagi,3072.1694
Vaikom,2900.2976
Sandi,2092.79
Malda,2996.4326
Tharangambadi,3140.977
Sakaleshapura,2739.1484
Malkangiri,2353.191
Rapar,2337.663
Mauganj,1882.3198
Todabhim,2315.9016
Srinivaspur,2910.8054
Murliganj,2593.3987
Reengus,1911.1492
Sawantwadi,2401.9043
Tittakudi,3180.1907
Lilong,2940.2656
Rajaldesar,2266.1208
Pathardi,2180.2922
Pacode,3199.562
Achhnera,1837.0842
Naraura,2282.2622
Nakur,1953.3202
Palai,2863.5725
"Morinda, India",2032.4218
Manasa,1891.7261
Nainpur,2069.363
Sahaspur,2013.1582
Pauni,2140.8264
Prithvipur,1940.5007
Silapathar,2242.6785
Ramtek,2167.1455
Songadh,2051.659
Safipur,1986.6063
Sohagpur,1846.5665
Mul,2321.3252
Sadulshahar,2339.7117
Phillaur,2401.2231
Sambhar,2554.3135
Prantij,2012.474
Nagla,2390.616
Pattran,2375.5254
Mount Abu,2140.791
Reoti,2048.436
Tenu dam-cum-Kathhara,2121.9927
Panchla,2762.0977
Pasighat,2306.5337
Motipur,2835.8943
O' Valley,2931.9805
Raghunathpur,2863.2258
Suriyampalayam,3636.9644
Qadian,2519.3398
Silvassa,2114.4148
Nowrozabad (Khodargama),2191.1968
Mangrol,2302.8015
Soyagaon,2956.6582
Sujanpur,2136.8438
Manihari,2772.0686
Sikanderpur,2156.289
Laksar,2151.2512
Mangalvedhe,2370.7722
Ron,2706.333
Phulera,2099.6938
Sholavandan,3285.6082
Saidpur,2051.8057
Shamgarh,2173.1082
Thammampatti,2883.5005
Maharajpur,2056.4348
Chamoli Gopeshwar,2281.4453
Multai,2077.3284
Mukerian,2169.8064
Sirsi,1969.764
Purwa,2012.8225
Sheohar,2597.2263
Namagiripettai,3127.6863
